"WineID";"Color";"Type";"Varietal";"Producer";"Description";"Country";"Region";"SubRegion";"subappellation";"Name";"created_at"
10052;"Red";"Table";"Bordeaux Blend";"L'Hermitage, Chateau";"";"France";"Bordeaux";"Saint Emilion";"";"L'Hermitage";"2021-08-04 14:52:46"
10053;"Red";"Table";"Bordeaux Blend";"Chateau Lafite-Rothschild";"Carruades de Lafite";"France";"Bordeaux";"Pauillac";"";"Chateau Lafite-Rothschild Carruades de Lafite";"2021-08-04 14:52:46"
10055;"Red";"Table";"Bordeaux Blend";"De Chambrun";"";"France";"Bordeaux";"Lalande de Pomerol";"";"De Chambrun";"2021-08-04 14:52:46"
10056;"Red";"Table";"Bordeaux Blend";"Clos Dubreuil";"";"France";"Bordeaux";"Saint Emilion";"";"Clos Dubreuil";"2021-08-04 14:52:46"
10057;"Red";"Table";"Bordeaux Blend";"Les Pagodes de Cos";"";"France";"Bordeaux";"St Estephe";"";"Les Pagodes de Cos";"2021-08-04 14:52:46"
1006;"Red";"Table";"Pinot Noir";"Rene Leclerc";"Gevrey Chambertin Clos Prieur";"France";"Burgundy";"Cote de Nuits";"";"Rene Leclerc Gevrey Chambertin Clos Prieur";"2021-08-04 14:52:46"
10060;"Red";"Table";"Bordeaux Blend";"Les Forts de Latour";"";"France";"Bordeaux";"Pauillac";"";"Les Forts de Latour";"2021-08-04 14:52:46"
10061;"Red";"Table";"Bordeaux Blend";"Le Moulin";"";"France";"Bordeaux";"Pomerol";"";"Le Moulin";"2021-08-04 14:52:46"
10062;"Red";"Table";"Bordeaux Blend";"Quinault l'Enclos";"";"France";"Bordeaux";"Saint Emilion";"";"Quinault l'Enclos";"2021-08-04 14:52:46"
10063;"Red";"Table";"Bordeaux Blend";"Veyry";"";"France";"Bordeaux";"Cotes de Castillon";"";"Veyry";"2021-08-04 14:52:46"
10065;"Red";"Table";"Bordeaux Blend";"D'Arche";"";"France";"Bordeaux";"Haut Medoc";"";"D'Arche";"2021-08-04 14:52:46"
10067;"Red";"Table";"Bordeaux Blend";"Bellisle-Mondotte";"";"France";"Bordeaux";"Saint Emilion";"";"Bellisle-Mondotte";"2021-08-04 14:52:46"
